,지역,유가,주유소명,브랜드,주소,셀프주유소여부
678,서대문구,1399,(주)창원이엔지 홍제지점,현대오일뱅크,서울 서대문구 통일로 455 (홍제동),N
679,서대문구,1399,(주)우남에너지,S-OIL,서울 서대문구 세검정로 87 (홍제동),N
680,서대문구,1410,지에스칼텍스(주)홍제동주유소,GS칼텍스,서울 서대문구 통일로 372,Y
681,서대문구,1439,현대오일뱅크(주)직영 연세주유소,현대오일뱅크,서울 서대문구 연희로 184,Y
682,서대문구,1442,(주)가재울뉴타운주유소,현대오일뱅크,서울 서대문구 모래내로 205,Y
683,서대문구,1443,삼미상사(주)서부주유소,SK에너지,서울 서대문구 성산로 255,Y
684,서대문구,1444,세일석유(주) 구도일주유소 두꺼비,S-OIL,서울 서대문구 성산로 312,Y
685,서대문구,1444,연희주유소,SK에너지,서울 서대문구 연희로 129 (연희동 89-7번지),N
686,서대문구,1444,행촌제2주유소,SK에너지,서울 서대문구 성산로 490 (대신동),N
687,서대문구,1447,남정주유소,GS칼텍스,서울 서대문구 모래내로 243 (남가좌동),N
688,서대문구,1448,현대오일뱅크㈜직영 독립문주유소,현대오일뱅크,서울 서대문구 통일로 384 (홍제동),N
689,서대문구,1454,광호주유소,SK에너지,서울 서대문구 연희로 266 (홍은동),N
690,서대문구,1458,삼보셀프주유소,SK에너지,서울 서대문구 연희로 78 (연희동),Y
691,서대문구,1458,중앙에너비스 동교지점,SK에너지,서울 서대문구 연희로 12 (창천동),Y
718,서초구,1399,만남의광장주유소,알뜰(ex),서울 서초구 양재대로12길 73-71,Y
719,서초구,1434,에쓰오일(주)직영 오토테크주유소,S-OIL,서울특별시 서초구  효령로 356 (서초동),Y
720,서초구,1435,양재주유소,SK에너지,서울 서초구 바우뫼로 178,N
721,서초구,1439,지에스칼텍스(주)선천주유소,GS칼텍스,서울 서초구 동작대로 206 (방배동),N
722,서초구,1444,에너지플러스허브 삼방주유소,GS칼텍스,서울 서초구 사평대로 364 (서초동),Y
723,서초구,1445,한독주유소,GS칼텍스,서울 서초구 방배로 218 (방배동),N
724,서초구,1445,지에스칼텍스(주)헌릉로주유소,GS칼텍스,서울 서초구 헌릉로 177 (내곡동),Y
725,서초구,1445,지에스칼텍스(주)내곡주유소,GS칼텍스,서울 서초구 헌릉로 210,N
726,서초구,1445,강남대로주유소,S-OIL,서울 서초구 강남대로 206 (양재동),Y
727,서초구,1446,말죽거리주유소,GS칼텍스,서울 서초구 남부순환로 2650 (양재동),N
728,서초구,1447,현대오일뱅크(주)직영 서초제일주유소,현대오일뱅크,서울 서초구 사임당로 116 (서초동),N
729,서초구,1448,현대오일뱅크㈜직영 양재현대주유소,현대오일뱅크,서울 서초구 마방로 6,N
730,서초구,1449,현대오일뱅크(주)직영 팔레스주유소,현대오일뱅크,서울 서초구 사평대로 136 (반포동),N
731,서초구,1455,(주)한미석유 서초주유소,GS칼텍스,서울 서초구 반포대로 64 (서초동),N
732,서초구,1455,(주)한미건설 서울주유소,GS칼텍스,서울 서초구 서초중앙로 91 (서초동),N
733,서초구,1458,신반포주유소,SK에너지,서울 서초구 사평대로 94 (반포동),N
734,서초구,1459,현대오일뱅크㈜직영 반포셀프주유소,현대오일뱅크,서울 서초구 사평대로 12,Y
735,서초구,1462,지에스칼텍스(주)남서울주유소,GS칼텍스,서울 서초구 나루터로 83 (잠원동),N
736,서초구,1465,태봉셀프주유소,SK에너지,서울 서초구 태봉로 117 (우면동),Y
737,서초구,1465,대성석유(주)연일주유소,GS칼텍스,서울 서초구 남부순환로 2451,N
738,서초구,1465,서초꽃마을주유소,GS칼텍스,서울 서초구 반포대로 69 (서초동),N
739,서초구,1467,(주)대농석유 남태령주유소,SK에너지,서울 서초구 과천대로 838 (방배동),Y
740,서초구,1469,현대오일뱅크(주)직영 방배현대주유소,현대오일뱅크,서울 서초구 동작대로 182 (방배동),N
741,서초구,1489,대신석유(주)대우주유소,SK에너지,서울 서초구 양재대로 173 (양재동),Y
742,서초구,1492,대성산업(주)직영 터미널(고속)주유소,GS칼텍스,서울 서초구 신반포로 222 (반포동),N
743,서초구,1492,반포그린주유소,GS칼텍스,서울 서초구 서초중앙로 239 (반포동),N
744,서초구,1492,대성산업(주)직영강남주유소,GS칼텍스,서울 서초구 반포대로 284 (반포동),N
745,서초구,1495,양재최고주유소,S-OIL,서울 서초구 매헌로 72 (양재동),N
746,서초구,1495,(주)홈런주유소,S-OIL,서울 서초구 양재대로2길 100-30 (우면동),Y
747,서초구,1517,방배동주유소,SK에너지,서울 서초구 효령로 29 (방배동),N
748,서초구,1539,크로바주유소,SK에너지,서울 서초구 효령로 327 (서초동),N
749,서초구,1662,현대오일뱅크㈜직영 사평로주유소,현대오일뱅크,서울 서초구 사평대로 350 (서초동),N
750,서초구,1867,(주)선문에너지 중앙주유소,S-OIL,서울특별시 서초구  바우뫼로 219 (양재1동),N
751,서초구,1878,대신석유㈜서원주유소,SK에너지,서울 서초구 반포대로 142 (서초동),N
752,서초구,1912,선우상사Q엔느,SK에너지,서울 서초구 방배로 66 (방배동),N
823,성동구,1427,(주)서울에너지 직영,S-OIL,서울 성동구 천호대로 324 (용답동),Y
824,성동구,1435,KLP제2주유소,현대오일뱅크,서울 성동구 동일로 249 (송정동),Y
825,성동구,1438,정호주유소,자가상표,서울 성동구 고산자로 307 (마장동),N
826,성동구,1445,현대오일뱅크(주) 성동셀프주유소,현대오일뱅크,서울 성동구 마장로 311 (마장동),Y
827,성동구,1458,아이콘주유소,S-OIL,서울 성동구 고산자로 273 (도선동),N
828,성동구,1459,SK에너지(주) 군자동주유소,SK에너지,서울 성동구 천호대로 446 (용답동),N
829,성동구,1475,지에스칼텍스㈜ 도루코주유소,GS칼텍스,서울 성동구 아차산로 180,Y
830,성동구,1496,SK에너지(주) 성수주유소,SK에너지,서울 성동구 뚝섬로 352 (성수동1가),N
831,성동구,1498,경진주유소,SK에너지,서울 성동구 고산자로 348 (마장동),N
832,성동구,1498,현대오일뱅크㈜직영 효진주유소,현대오일뱅크,서울 성동구 동일로 129,N
833,성동구,1498,삼우주유소,SK에너지,서울 성동구 천호대로 392,N
834,성동구,1516,kh에너지(주)성수만세주유소,SK에너지,서울 성동구 왕십리로 109,Y
835,성동구,1530,SK세원2주유소,SK에너지,서울 성동구 광나루로 184 (성수동1가),N
836,성동구,1595,금호주유소,GS칼텍스,서울 성동구 금호로 39 (금호동4가),N
837,성동구,1698,청계로주유소,SK에너지,서울 성동구 청계천로 454 (하왕십리동),N
838,성동구,1705,(주)옥수하이웨이스테이션,GS칼텍스,서울 성동구 독서당로 168 (옥수동),N
839,성동구,1745,동일주유소,현대오일뱅크,서울 성동구 광나루로 254 (성수동2가),N
873,성북구,1389,(주)삼표에너지 정릉주유소,GS칼텍스,서울 성북구 보국문로 35 (정릉동),Y
874,성북구,1389,강산제2주유소,현대오일뱅크,서울 성북구 보국문로 52,Y
875,성북구,1395,원천주유소,알뜰주유소,서울 성북구 돌곶이로 142 (장위동),N
876,성북구,1407,SK에너지(주) 드림랜드주유소,SK에너지,서울 성북구 월계로 128 (장위동),N
877,성북구,1408,장위주유소,S-OIL,서울 성북구 화랑로 110 (하월곡동),Y
878,성북구,1409,(주)성북주유소,현대오일뱅크,서울 성북구 보문로 142,Y
879,성북구,1409,이케이에너지㈜ 강산주유소,GS칼텍스,서울 성북구 보문로 27 (보문동7가),Y
880,성북구,1417,현대오일뱅크(주)직영 장삼주유소,현대오일뱅크,서울 성북구 한천로 612 (장위동),Y
881,성북구,1418,㈜명연에너지 효성주유소,GS칼텍스,서울 성북구 화랑로 27,N
882,성북구,1422,신방주유소,S-OIL,서울 성북구 안암로 111 (안암동5가),N
883,성북구,1427,(주)신용 구도일주유소화랑로,S-OIL,서울 성북구 화랑로 174,Y
884,성북구,1427,신동방주유소,S-OIL,서울 성북구 월계로 84 (장위동),N
885,성북구,1428,GS칼텍스(주) 종암주유소,GS칼텍스,서울 성북구 종암로 145 (종암동),Y
886,성북구,1429,재정제2주유소 길음지점,현대오일뱅크,서울 성북구 삼양로 78 (길음동),N
887,성북구,1437,삼선주유소,S-OIL,서울 성북구 창경궁로 324,Y
888,성북구,1437,현대오일뱅크㈜직영 광덕셀프주유소,현대오일뱅크,서울 성북구 보문로 89 (보문동5가),Y
889,성북구,1438,현대오일뱅크㈜직영 고대셀프주유소,현대오일뱅크,서울 성북구 종암로 12 (종암동),Y
890,성북구,1438,우리주유소,SK에너지,서울 성북구 화랑로 292,Y
891,성북구,1438,중앙에너비스 종암지점,SK에너지,서울 성북구 종암로 58,Y
892,성북구,1439,현대오일뱅크㈜직영 북악셀프주유소,현대오일뱅크,서울 성북구 정릉로 218 (정릉동),Y
893,성북구,1439,지에스칼텍스㈜ 화랑주유소,GS칼텍스,서울 성북구 화랑로 185,N
894,성북구,1459,지에스칼텍스㈜ 세창주유소,GS칼텍스,서울 성북구 동소문로 323,Y
895,성북구,1459,현대오일뱅크㈜직영 아리랑주유소,현대오일뱅크,서울 성북구 아리랑로 96 (정릉동),N
940,송파구,1420,지에스이앤알 직영 송파제일주유소,현대오일뱅크,서울 송파구 삼학사로 50 (석촌동),Y
941,송파구,1423,삼화주유소,GS칼텍스,서울 송파구 백제고분로 125,Y
942,송파구,1423,상아주유소,현대오일뱅크,서울 송파구 거마로 82 (마천동),Y
943,송파구,1423,아시아주유소,GS칼텍스,서울 송파구 도곡로 438 (잠실동),Y
944,송파구,1423,삼전셀프주유소,SK에너지,서울 송파구 백제고분로 199,Y
945,송파구,1423,삼정주유소,GS칼텍스,서울 송파구 백제고분로 252 (삼전동),Y
946,송파구,1425,지에스칼텍스(주)우리주유소,GS칼텍스,서울 송파구 동남로 153,N
947,송파구,1428,(주)삼표에너지 훼미리주유소,GS칼텍스,서울 송파구 중대로 58 (문정동),N
948,송파구,1433,위례제일주유소,S-OIL,서울 송파구 위례서로 258,Y
949,송파구,1434,현대오일뱅크㈜직영 잠실셀프주유소,현대오일뱅크,서울 송파구 송파대로 397 (석촌동),Y
950,송파구,1435,방이주유소,SK에너지,서울 송파구 위례성대로12길 38 (방이동),N
951,송파구,1435,한강에너지(주)퍼스트주유소,SK에너지,서울 송파구 삼학사로 22 (석촌동),Y
952,송파구,1435,백제고분로주유소,SK에너지,서울 송파구 오금로 143 (방이동),Y
953,송파구,1435,(주)뉴명성산업 남성주유소,현대오일뱅크,서울 송파구 백제고분로 474 (방이동),N
954,송파구,1437,지에스칼텍스(주)가든파이브주유소,GS칼텍스,서울 송파구 탄천동로 740,Y
955,송파구,1437,제트라인DM주유소,현대오일뱅크,서울 송파구 중대로 183 (가락동),N
956,송파구,1439,(주)잠실에너지,S-OIL,서울 송파구 송파대로 442 (송파동),Y
957,송파구,1439,(주)남경석유 세영주유소,GS칼텍스,서울 송파구 동남로 298,N
958,송파구,1443,지에스칼텍스(주)스마트위례주유소,GS칼텍스,서울 송파구 위례중앙로 43 (장지동),Y
959,송파구,1443,남성대주유소,SK에너지,서울 송파구 송파대로 52 (장지동),Y
960,송파구,1443,완불주유소,SK에너지,서울 송파구 송파대로 3 (장지동),Y
961,송파구,1446,(주)유진주유소,SK에너지,서울 송파구 동남로 325 (오금동),N
963,송파구,1448,(주)정직한주유소,현대오일뱅크,서울 송파구 오금로 455 (거여동),Y
964,송파구,1448,(주)퍼스트오일서울주유소,S-OIL,서울 송파구 문정로 153 (가락동),N
965,송파구,1457,송파주유소,GS칼텍스,서울 송파구 송이로 28 (송파동),Y
966,송파구,1457,현대오일뱅크㈜직영 올림픽셀프주유소,현대오일뱅크,서울 송파구 위례성대로 188 (오금동),Y
967,송파구,1457,현대오일뱅크㈜직영 서원주유소,현대오일뱅크,서울 송파구 중대로 154 (가락동),N
968,송파구,1458,현대오일뱅크㈜직영 거여셀프주유소,현대오일뱅크,서울 송파구 거마로 5 (거여동),Y
969,송파구,1458,대성석유(주)석촌주유소,GS칼텍스,서울 송파구 백제고분로 289,N
970,송파구,1465,(주)신화에너지 서울지점,SK에너지,서울 송파구 가락로 47 (석촌동),Y
971,송파구,1538,송파알찬주유소,S-OIL,서울 송파구 백제고분로 229 (삼전동),N
972,송파구,1689,대신석유(주)진양주유소,SK에너지,서울 송파구 올림픽로 499 (풍납동),N
1034,양천구,1388,양천구주유소,알뜰주유소,서울 양천구 국회대로 275 (목동),Y
1035,양천구,1388,개나리Self주유소,SK에너지,서울 양천구 남부순환로 442 (신월동),Y
1037,양천구,1398,형산석유(주)원주유소,현대오일뱅크,서울 양천구 남부순환로 408,N
1038,양천구,1409,지에스이앤알 직영 서울주유소,GS칼텍스,서울 양천구 신정로 236 (신정동),N
1039,양천구,1415,가로공원주유소,SK에너지,서울 양천구 가로공원로 165 (신월동),N
1040,양천구,1415,지에스칼텍스㈜ 서호주유소,GS칼텍스,서울 양천구 남부순환로 317,Y
1041,양천구,1418,신월주유소,GS칼텍스,서울 양천구 신월로 193 (신월동),Y
1042,양천구,1419,(주)블루에너지,SK에너지,서울 양천구 중앙로 226 (신정동),Y
1043,양천구,1438,신정동주유소,현대오일뱅크,서울 양천구 안양천로 663 (신정동),Y
1044,양천구,1439,SK에너지(주) 신평,SK에너지,서울 양천구 목동남로 62 (신정동),N
1045,양천구,1439,현대오일뱅크(주)직영 양천셀프주유소,현대오일뱅크,서울 양천구 목동로 17,Y
1046,양천구,1440,지에스칼텍스㈜ 건지주유소,GS칼텍스,서울 양천구 안양천로 1171 (목동),Y
1047,양천구,1440,현대오일뱅크㈜직영 목동셀프주유소,현대오일뱅크,서울 양천구 공항대로 648 (목동),Y
1048,양천구,1444,현대오일뱅크(주)직영 남부순환셀프주유소,현대오일뱅크,서울 양천구 남부순환로 553 (신월동),Y
1049,양천구,1449,SK에너지(주) 경인주유소,SK에너지,서울 양천구 국회대로 170 (신정동),Y
1050,양천구,1449,(주)삼표에너지 목동주유소,GS칼텍스,서울 양천구 목동서로 129 (목동),N
1051,양천구,1458,목동주유소,SK에너지,서울 양천구 목동중앙로 125 (목동),Y
1052,양천구,1459,(주)서부트럭터미날,현대오일뱅크,서울 양천구 신정로 167 (신정동),N
1053,양천구,1459,현대오일뱅크(주)직영 신목동셀프주유소,현대오일뱅크,서울 양천구 목동동로10길 13,Y
1054,양천구,1460,현대오일뱅크(주) 양천주유소,현대오일뱅크,서울 양천구 안양천로 1179 (목동),N
1055,양천구,1464,대농self주유소,SK에너지,서울 양천구 중앙로 331 (신월동),Y
1056,양천구,1478,양정주유소,현대오일뱅크,서울 양천구 국회대로 158 (신정동),N
1057,양천구,1499,신양주유소,SK에너지,서울 양천구 지양로 67,N
1058,양천구,1694,현대오일뱅크㈜직영 코리아주유소,현대오일뱅크,서울 양천구 신목로7길 1,N
1059,양천구,1697,평화주유소,SK에너지,서울 양천구 안양천로 657 (신정동),N
1103,영등포구,1369,남서울고속주유소,SK에너지,서울 영등포구 가마산로 367 (대림동),Y
1104,영등포구,1384,도림주유소,알뜰주유소,서울 영등포구 도림로 343 (도림동),Y
1105,영등포구,1389,(주)강서오일,현대오일뱅크,서울 영등포구 도신로 151,N
1106,영등포구,1390,한일주유소,SK에너지,서울 영등포구 도림로 486 (문래동3가),N
1107,영등포구,1394,지에스칼텍스㈜ 화일주유소,GS칼텍스,서울 영등포구 도림로 415,Y
1108,영등포구,1399,(주)MS주유소,현대오일뱅크,서울 영등포구 대림로 230,N
1109,영등포구,1399,(주)대청에너지 대청주유소,GS칼텍스,서울 영등포구 가마산로 328 (대림동),N
1110,영등포구,1399,행촌주유소,SK에너지,서울 영등포구 도신로 130 (신길동),N
1111,영등포구,1417,매봉주유소,현대오일뱅크,서울 영등포구 도신로 248 (신길동),Y
1112,영등포구,1418,현대오일뱅크㈜직영 선유로셀프주유소,현대오일뱅크,서울 영등포구 선유로 114(양평동1가),Y
1113,영등포구,1419,지에스칼텍스㈜ 신길주유소,GS칼텍스,서울 영등포구 신길로 74 (신길동),Y
1114,영등포구,1419,㈜지에스이앤알 모드니주유소,GS칼텍스,서울 영등포구 경인로 789,N
1115,영등포구,1438,SK에너지(주) 양평주유소,SK에너지,서울 영등포구 선유로 195 (양평동3가),Y
1116,영등포구,1438,SK에너지(주) 기린주유소,SK에너지,서울 영등포구 선유로 270,Y
1117,영등포구,1438,한경석유(주)경덕주유소,SK에너지,서울 영등포구 여의대방로23길 2 (신길동),Y
1118,영등포구,1438,선유도주유소,S-OIL,서울 영등포구 양평로 141 (양평동5가),Y
1119,영등포구,1438,(주)한미석유 제2한강주유소,GS칼텍스,서울 영등포구 선유로 260 (양평동4가),Y
1120,영등포구,1439,SK에너지(주) 신길동주유소,SK에너지,서울 영등포구 영등포로 348 (신길동),N
1121,영등포구,1440,현대오일뱅크㈜직영 영등포제일셀프주유소,현대오일뱅크,서울 영등포구 가마산로 379,Y
1122,영등포구,1449,현대오일뱅크㈜직영 대일셀프주유소,현대오일뱅크,서울 영등포구 영등포로 168,Y
1123,영등포구,1450,대영주유소,GS칼텍스,서울 영등포구 국회대로 632 (영등포동7가),Y
1124,영등포구,1455,현대오일뱅크(주)직영 영등포현대셀프,현대오일뱅크,서울 영등포구 경인로 822 (영등포동),Y
1125,영등포구,1469,씨앤에스유통 한성주유소,S-OIL,서울 영등포구 여의대방로 227,N
1126,영등포구,1698,성원이앤에스(주)영등포지점,GS칼텍스,서울 영등포구 국회대로52길 9-13 (영등포동7가),N
1127,영등포구,1798,sk여명주유소,SK에너지,서울 영등포구 국회대로62길 7 (여의도동),N
1128,영등포구,1890,버드나룻길주유소,SK에너지,서울 영등포구 버드나루로 111 (당산동),N
1129,영등포구,1950,SJ오일(주) 여의도주유소,GS칼텍스,서울 영등포구 은행로 64,N
1130,영등포구,1950,KH여의도주유소,SK에너지,서울 영등포구 국회대로 794 (여의도동),N
1131,영등포구,1954,지에스칼텍스(주) 국회대로주유소,GS칼텍스,서울 영등포구 국회대로 746 (여의도동),N
1132,영등포구,1979,현대오일뱅크㈜직영 여의도현대주유소,현대오일뱅크,서울 영등포구 의사당대로 154 (여의도동),N
1183,용산구,1538,(주)한독모터스용산뉴타운주유소,GS칼텍스,서울 용산구 한강대로 48 (한강로3가),N
1184,용산구,1598,현대오일뱅크㈜직영 강변현대주유소,현대오일뱅크,서울 용산구 원효로 9 (청암동),N
1185,용산구,1658,현대오일뱅크(주)직영 소월길주유소,현대오일뱅크,서울 용산구 소월로 66 (후암동),N
1186,용산구,1698,한석주유소,SK에너지,서울 용산구 이촌로 164,N
1187,용산구,1718,수림석유 제3한강주유소,GS칼텍스,서울 용산구 한남대로 45 (한남동),N
1188,용산구,1720,(주)영원 풍기주유소,GS칼텍스,서울 용산구 원효로 178 (원효로2가),N
1189,용산구,1799,(주)남경주유소,SK에너지,서울 용산구 녹사평대로11길 24,N
1190,용산구,1799,(주)신태성주유소,SK에너지,서울 용산구 원효로 147 (원효로3가),N
1191,용산구,1863,현대오일뱅크㈜직영 갈월동주유소,현대오일뱅크,서울 용산구 한강대로 322 (갈월동),N
1192,용산구,1898,현대오일뱅크㈜직영 한남동주유소,현대오일뱅크,서울 용산구 한남대로 204 (한남동),N
1193,용산구,1990,동자동주유소,SK에너지,서울 용산구 한강대로104길 6 (동자동),N
1194,용산구,1998,한남지점,SK에너지,서울 용산구 한남대로21길 4 (한남동),N
1195,용산구,1998,에너비스,SK에너지,서울 용산구 한남대로 82 (한남동),N
1196,용산구,2189,서계주유소,GS칼텍스,서울 용산구 청파로 367 (서계동),N
1232,은평구,1394,지에스칼텍스(주)수색뉴타운주유소,GS칼텍스,서울특별시 은평구  수색로 350 (수색동),Y
1233,은평구,1394,타이거주유소,SK에너지,서울 은평구 수색로 188 (증산동),Y
1234,은평구,1398,불광주유소,현대오일뱅크,서울 은평구 연서로 314 (불광동),Y
1235,은평구,1399,다회주유소,S-OIL,서울 은평구 증산로 441 (신사동),Y
1236,은평구,1410,지에스칼텍스㈜ 서부주유소,GS칼텍스,서울 은평구 응암로 210 (응암동),Y
1237,은평구,1410,지에스칼텍스㈜ 신사제일주유소,GS칼텍스,서울 은평구 증산로 423 (신사동),Y
1238,은평구,1410,지에스칼텍스㈜ 녹번주유소,GS칼텍스,서울 은평구 통일로 600 (녹번동),Y
1239,은평구,1418,(주)명연에너지 수색훼미리주유소,현대오일뱅크,서울 은평구 수색로 236 (수색동),Y
1240,은평구,1419,대성산업㈜ 대성주유소,GS칼텍스,서울 은평구 통일로 642,Y
1241,은평구,1425,뉴타운셀프주유소,S-OIL,서울특별시 은평구  통일로 1031,Y
1242,은평구,1435,박석고개주유소,SK에너지,서울 은평구 통일로 945 (갈현동),Y
1243,은평구,1435,은평뉴타운주유소,SK에너지,서울 은평구 통일로 924 (불광동),Y
1244,은평구,1439,성원이앤에스(주)은평지점,GS칼텍스,서울 은평구 통일로 968 (진관동),N
1245,은평구,1445,현대오일뱅크㈜직영 은평드림주유소,현대오일뱅크,서울 은평구 통일로 1151 (진관동),N
1246,은평구,1447,제이제이에너지,SK에너지,서울 은평구 응암로 163,Y
1247,은평구,1498,코끼리주유소,자가상표,서울 은평구 서오릉로 41 (녹번동),N
1276,종로구,1485,㈜지에스이앤알 평창주유소,현대오일뱅크,서울 종로구 평창문화로 135 (평창동),N
1277,종로구,1517,자하문주유소,SK에너지,서울 종로구 자하문로 248 (부암동),Y
1278,종로구,1520,안풍주유소,S-OIL,서울 종로구 자하문로 303,N
1279,종로구,1540,구도일주유소특종,S-OIL,서울 종로구 평창문화로 90 (평창동),N
1280,종로구,1888,현대오일뱅크㈜직영 재동주유소,현대오일뱅크,서울 종로구 율곡로 58 (경운동),N
1281,종로구,1898,SK북악주유소,SK에너지,서울 종로구 평창문화로 137,N
1282,종로구,1995,경복궁주유소,GS칼텍스,서울 종로구 율곡로 6 (중학동),N
1283,종로구,1998,(주)중앙에너비스 혜화주유소,SK에너지,서울 종로구 창경궁로35길 1,N
1284,종로구,1998,(주)대양씨앤씨 사직주유소,GS칼텍스,서울 종로구 사직로 65 (사직동),N
1305,중구,1498,세화주유소,알뜰주유소,서울 중구 왕십리로 403,N
1306,중구,1628,현대오일뱅크 장원주유소,현대오일뱅크,서울 중구 동호로 203 (신당동),N
1307,중구,1758,장충주유소,SK에너지,서울 중구 장충단로 202 (장충동1가),N
1308,중구,1798,화성주유소,S-OIL,서울 중구 다산로 233,N
1309,중구,1798,신당동주유소,SK에너지,서울 중구 다산로 242 (신당동),N
1310,중구,1869,SK에너지(주) 통일주유소,SK에너지,서울 중구 동호로 296,N
1311,중구,1971,약수주유소,GS칼텍스,서울 중구 다산로 173,N
1312,중구,2099,SK에너지(주) 퇴계로주유소,SK에너지,서울 중구 퇴계로 228 (필동2가),N
1313,중구,2119,필동주유소,GS칼텍스,서울 중구  퇴계로 196 (필동2가),N
1314,중구,2249,서남주유소,SK에너지,서울 중구 통일로 30,N
1341,중랑구,1407,(주)자연에너지 대창주유소,현대오일뱅크,서울 중랑구 동일로 636 (면목동),N
1342,중랑구,1407,면목SELF주유소,SK에너지,서울 중랑구 동일로 627 (면목동),Y
1343,중랑구,1415,우림주유소,GS칼텍스,서울 중랑구 용마산로 487 (망우동),Y
1344,중랑구,1417,오천만주유소,S-OIL,서울 중랑구 동일로 547 (면목동),Y
1345,중랑구,1417,신내주유소,SK에너지,서울 중랑구 용마산로 705 (신내동),Y
1346,중랑구,1427,구도일주유소 동천,S-OIL,서울 중랑구 동일로 654 (면목동),Y
1348,중랑구,1429,(주)기지에너지,S-OIL,서울 중랑구 용마산로 716 (신내동),N
1349,중랑구,1435,대양주유소,GS칼텍스,서울 중랑구 봉우재로 105 (상봉동),N
1350,중랑구,1435,망우주유소(self),GS칼텍스,서울 중랑구 망우로 311 (상봉동),Y
1351,중랑구,1437,(주)태영 구도일주유소 한인,S-OIL,서울 중랑구 망우로 170 (상봉동),Y
1352,중랑구,1438,용마로주유소,SK에너지,서울 중랑구 용마산로 309 (면목동),Y
1353,중랑구,1449,지에스칼텍스㈜ 소망주유소,GS칼텍스,서울 중랑구 망우로 475,Y
1354,중랑구,1458,현대오일뱅크㈜직영 중랑교셀프주유소,현대오일뱅크,서울 중랑구 망우로 229 (중화동),Y
1355,중랑구,1458,재원에너지㈜ 범아주유소,S-OIL,서울 중랑구 동일로 881 (묵동),N
1356,중랑구,1459,신일셀프주유소,SK에너지,서울 중랑구 상봉로 58 (망우동),Y
