* 통계표명 :,주택거래_연도별,,,,,,,,,,,,,,,,,
* 수록기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 조회기간 :,2006년 ~ 2021년,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.20 15:54:21,,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
지 역,,,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
전국,,,1494935,1148574,1179742,1133637,1037229,1231393,1004006,1187279,1447123,1720795,1624032,1759661,1719231,1569498,2021865,147062
서울,,,323392,193334,183197,170962,115227,141596,112094,150768,201991,280313,285594,281181,264278,210898,273895,22088
,종로구,,4145,3466,3709,2484,1823,2129,1785,2394,2586,3503,3180,4340,2915,2590,3284,182
,중구,,3378,2520,2110,3238,2317,1903,2288,1745,2595,3721,3586,3217,3329,2317,3399,177
,용산구,,10550,6385,3702,4110,3005,2921,1994,2939,4702,5702,7046,8468,8367,5163,7622,412
,성동구,,10578,4844,4510,5803,2758,3637,2764,4125,6607,10241,8929,9182,6616,5303,6644,365
,광진구,,9458,6003,4735,5339,3137,3896,3400,3462,5291,7971,8076,8752,7340,5995,6832,448
,동대문구,,9938,7947,6342,5418,3371,4831,3757,5272,8257,10804,11131,9738,11688,11951,9684,660
,중랑구,,9711,8103,6412,4400,3700,5105,4417,5864,9157,11498,11093,10043,9782,7424,8932,765
,성북구,,18631,11197,9689,8614,6060,7199,4979,6954,8848,13242,12706,13128,14621,14553,12702,1019
,강북구,,10333,8304,7327,5142,3726,4794,3913,5345,6338,8810,8297,8009,6754,4883,9087,684
,도봉구,,13479,10595,8548,5609,3736,5782,4908,6213,7151,9917,9565,8115,7571,5312,8958,771
,노원구,,24519,14017,10341,9483,6074,7808,5947,8621,11476,15409,15928,14910,13488,10784,15439,896
,은평구,,15982,12473,16677,11556,12182,10768,7438,8667,11540,17741,18213,17587,18494,14044,20065,1866
,서대문구,,12210,8207,7001,5885,4197,4639,3907,4949,6843,10719,10816,10708,9575,9451,11483,431
,마포구,,13545,8729,8729,7106,4837,6348,4217,6197,8167,13221,14446,11699,11702,7589,11689,650
,양천구,,18866,7413,8148,9186,5822,7218,5363,6256,7785,12821,13510,10334,10669,8915,12811,893
,강서구,,21975,12736,15454,9712,6950,9353,7262,10685,15342,22593,20029,16490,13166,10712,16214,942
,구로구,,15368,8763,7859,6639,4143,7653,4738,6571,9287,11173,11487,11014,11497,8613,10790,638
,금천구,,5724,4092,3161,2243,1567,2491,2676,3803,5148,7058,7126,7184,7955,5331,6383,336
,영등포구,,10204,4829,6039,5476,3704,4377,3845,4847,6533,9526,10918,12067,13706,7410,10895,696
,동작구,,14708,7522,6852,6132,4558,5814,5394,7195,7246,11370,11905,11299,10901,7788,10990,1023
,관악구,,13394,8720,7571,5319,4250,5286,4521,5667,7706,11200,10208,9923,9137,7865,9517,681
,서초구,,12054,4524,4200,9107,5594,5570,4793,7179,11217,10938,11095,11697,12289,10496,10764,952
,강남구,,13731,5931,4860,10003,6165,7132,6175,7687,12888,13120,13713,12862,14731,10251,16097,4640
,송파구,,18039,9059,12578,11524,6557,8167,6588,12158,11455,15259,18678,18088,14686,14916,17055,1190
,강동구,,12872,6955,6643,11434,4994,6775,5025,5973,7826,12756,13913,22327,13299,11242,16559,771
부산,,,84503,70334,78871,90194,101009,113663,85931,107036,128800,158998,139617,131933,104400,110988,164614,7381
,중구,,631,465,534,632,843,1158,1106,1499,1200,1319,1219,1130,855,630,946,72
,서구,,2010,1491,1599,1663,2077,2305,2457,2517,3730,4543,3607,5098,5765,3462,4229,197
,동구,,1708,1271,1095,1383,1801,2172,1332,1566,2337,2821,3686,3485,3137,6090,4154,218
,영도구,,2063,1979,2114,2784,2255,2564,1742,2241,2354,3611,3224,3352,4779,2908,5364,213
,부산진구,,10687,8553,8236,9133,10883,14430,9843,10944,13762,17042,14944,19086,10094,15566,24655,1014
,동래구,,8203,6199,5277,6317,7532,10336,6011,7907,10539,13879,12784,9944,11325,14068,12475,404
,남구,,6880,5937,8659,10515,8803,9142,6313,11157,10775,15017,11957,9147,12348,10816,17551,529
,북구,,7657,6289,7917,7966,8883,9321,10321,8688,10827,14699,11740,7042,7667,7616,10062,387
,해운대구,,14822,12026,13518,12659,13437,15735,10764,10478,13651,18461,14501,11619,8663,10776,20320,806
,사하구,,6244,7101,9462,8413,9671,10537,7557,8754,9650,11485,12038,10915,6903,8819,11607,866
,금정구,,5847,4925,4143,4548,7805,8619,6929,7323,9019,9659,8375,8554,5746,4676,9984,384
,강서구,,658,571,1262,5949,2624,1822,1656,4476,6984,10663,10498,10014,2692,2732,5037,140
,연제구,,6052,4443,4950,4192,7383,6683,5560,6491,8643,12440,10342,8407,9370,6832,12669,625
,수영구,,4337,3987,3979,4919,5513,7265,5383,5103,10064,9720,8856,10233,4216,7426,10354,678
,사상구,,5441,3847,4135,4889,6595,4984,3517,5053,6594,5750,6010,5893,4205,4228,7738,332
,기장군,,1263,1250,1991,4232,4904,6590,5440,12839,8671,7889,5836,8014,6635,4343,7469,516
대구,,,65657,53311,55981,54067,51157,74965,68389,84141,87003,88922,67374,78530,78610,82348,116910,6450
,중구,,2913,2360,1933,1219,1123,2281,2330,3176,4316,4277,3146,2920,4054,4573,12398,637
,동구,,6617,6666,6277,7459,6898,9770,10782,13792,14218,14686,9482,9495,13273,12272,17866,948
,서구,,4345,2361,2661,2758,2852,4756,4822,4450,4289,4719,2800,3098,3974,4932,8999,730
,남구,,4627,2294,2759,2008,2153,3443,3629,3041,3594,4159,2458,4625,4476,4941,6713,207
,북구,,14112,10621,10574,12166,10169,13448,13314,13248,14753,16454,10204,14321,13679,14313,18729,634
,수성구,,14204,10744,11105,10454,9565,13855,10135,16780,15047,13588,9772,13357,12404,13085,15422,1420
,달서구,,14167,12890,13399,13589,15055,21867,18736,21143,17495,16059,10226,13395,15801,17826,23810,646
,달성군,,4672,5375,7273,4414,3342,5545,4641,8511,13291,14980,19286,17319,10949,10406,12973,1228
인천,,,98336,114652,114401,78737,62989,81256,66327,68275,85291,106224,107841,117491,110643,121143,158372,9565
,중구,,3998,3347,2662,2509,2726,1704,4493,4178,4932,3806,3861,7158,5068,6175,9374,402
,동구,,1971,2203,4026,3604,1970,1406,889,1292,1651,2111,1801,1485,4219,1508,3722,163
,남구,,14102,17159,18389,9978,9399,8712,7597,8899,11026,14440,19851,15427,7393,-,-,-
,미추홀구,,-,-,-,-,-,-,-,-,-,-,-,-,7852,15189,22759,1233
,연수구,,9704,8007,7238,9390,5926,10314,8130,8943,12525,16114,14812,21616,16913,19155,20213,1238
,남동구,,14191,25101,20443,18074,9604,18685,10625,11286,15562,21012,16432,18899,14765,13546,18576,2276
,부평구,,20572,21465,22110,11902,12329,11317,9665,11842,15336,20438,21201,19641,21863,18272,24740,1732
,계양구,,14522,16325,14353,9719,7730,7796,5987,8126,8385,11479,10427,10568,9406,9667,10338,780
,서구,,18315,18905,23151,12185,12158,20220,17705,12503,14367,15070,17596,20801,21431,35952,46464,1595
,강화군,,824,1999,1847,1216,955,927,1011,980,1273,1510,1544,1574,1415,1399,1885,131
,옹진군,,137,141,182,160,192,175,225,226,234,244,316,322,318,280,301,15
광주,,,52843,40092,39227,48522,40940,51322,41253,50314,61913,57374,44858,58186,60453,46011,64546,3418
,동구,,2202,2421,1510,1499,1569,3211,1990,2036,4570,4287,4540,6999,8572,5156,6746,373
,서구,,14602,8259,9509,7669,9788,10277,8053,8675,10610,10645,9855,9582,9694,8545,10908,615
,남구,,6379,4781,5865,5052,6022,6756,5124,6495,10251,9539,7156,9384,8909,7925,8563,453
,북구,,17928,13510,12705,10650,11911,13048,10971,15153,18068,17437,11371,15624,19094,12099,24074,1029
,광산구,,11732,11121,9638,23652,11650,18030,15115,17955,18414,15466,11936,16597,14184,12286,14255,948
대전,,,42080,32052,34371,38359,40958,52388,33396,36940,43298,40477,40436,43421,48520,55269,55032,3590
,동구,,8463,7403,7092,5319,6010,11673,5289,5879,5518,6097,5566,5477,9953,9537,8296,468
,중구,,6204,6901,5193,6063,7064,8254,5206,7219,6003,5955,5469,5592,5549,7889,7980,529
,서구,,11393,7576,9312,13303,13534,13387,8155,10650,13348,12404,14496,14682,17559,16737,14900,925
,유성구,,11962,6633,8341,9271,9499,13021,8722,8632,13978,11219,10891,13644,10223,14921,17474,1313
,대덕구,,4058,3539,4433,4403,4851,6053,6024,4560,4451,4802,4014,4026,5236,6185,6382,355
울산,,,39787,32364,32082,24926,33468,39182,33010,40417,48128,49493,33826,32204,26896,32546,42546,2357
,중구,,9094,6063,3247,3847,6304,5578,5442,8302,10444,10534,5116,5326,3668,4847,8863,506
,남구,,11719,7057,8231,8096,9296,10625,11197,8604,12551,14494,10513,8702,7069,8283,14897,721
,동구,,5157,5360,3847,3433,3474,6450,4812,6538,5884,3796,4589,2779,1843,1801,7277,283
,북구,,6110,6191,8491,4340,8363,8938,4629,9935,9282,9442,7406,8726,7789,11143,6343,425
,울주군,,7707,7693,8266,5210,6031,7591,6930,7038,9967,11227,6202,6671,6527,6472,5166,422
세종,,,-,-,-,-,-,-,6204,8158,17004,37627,22996,33096,30294,21667,26273,1210
,세종시,,-,-,-,-,-,-,6204,8158,17004,37627,22996,33096,30294,21667,26273,1210
경기,,,450757,299856,275248,285130,234142,263141,210779,262864,319526,418790,433418,504477,551129,481473,590982,44157
,수원시,,48162,23249,22446,24539,21149,28107,23408,29558,35675,37702,35549,40618,41241,38761,59645,3906
,,장안구,13565,5839,6109,5870,5111,6397,5491,9721,8239,8297,7080,7573,9990,5642,11196,665
,,권선구,13213,7285,6008,7418,4436,8133,6852,6025,10982,13549,11475,13310,11576,8585,16826,1212
,,팔달구,8959,4556,3638,4621,5368,4028,2568,3590,4974,5650,5734,5192,6263,10711,15706,624
,,영통구,12425,5569,6691,6630,6234,9549,8497,10222,11480,10206,11260,14543,13412,13823,15917,1405
,성남시,,35753,13490,12173,31035,13272,13165,9217,14000,17529,22026,30008,31774,20276,30466,30120,1646
,,수정구,10441,3304,2882,2779,1987,2000,1826,2265,3232,5417,12217,14283,4723,5230,8740,349
,,중원구,13296,5563,5304,3496,4040,3435,3012,4661,3970,5586,6609,5285,5587,12371,8171,566
,,분당구,12016,4623,3987,24760,7245,7730,4379,7074,10327,11023,11182,12206,9966,12865,13209,731
,의정부시,,15564,17768,13705,6164,4633,6515,5343,8314,10085,13951,13263,22648,15382,18096,20289,1272
,안양시,,27037,8603,11029,11409,8855,11203,9615,10831,14878,19084,20466,19256,23558,20467,21188,1531
,,만안구,10709,3879,4631,3758,3900,4422,3184,4753,6227,7876,8560,7918,9286,6788,8457,514
,,동안구,16328,4724,6398,7651,4955,6781,6431,6078,8651,11208,11906,11338,14272,13679,12731,1017
,부천시,,35216,21552,23191,17885,12787,18099,12504,14962,19858,29297,30008,27404,27556,26543,28588,1794
,,원미구,-,-,-,-,-,-,-,-,-,7159,5262,-,-,-,-,-
,,소사구,-,-,-,-,-,-,-,-,-,3857,3541,-,-,-,-,-
,,오정구,-,-,-,-,-,-,-,-,-,3821,3478,-,-,-,-,-
,광명시,,12861,9639,7272,8127,9664,8165,3877,6150,7631,9488,10595,12603,16054,9880,15187,730
,평택시,,15767,15171,10998,9231,9025,12576,9151,11083,12637,18591,22906,27757,28617,27698,31463,2387
,동두천시,,1741,3786,4927,7001,2649,3006,2635,2690,2520,3405,4431,2728,2855,2213,3521,795
,안산시,,24721,20281,15278,14470,10969,16795,13098,16185,19851,22699,19246,26214,16554,17427,29132,1428
,,상록구,13417,10495,8505,7257,6285,9582,7788,8732,10792,12171,9220,13289,7071,7565,13598,679
,,단원구,11304,9786,6773,7213,4684,7213,5310,7453,9059,10528,10026,12925,9483,9862,15534,749
,고양시,,36357,19148,17271,18547,17077,22139,17283,23936,24623,32994,34411,35727,33104,29277,39674,3285
,,덕양구,15283,9004,9992,8787,6234,6725,8751,10190,11633,15041,14310,19172,16826,12491,19764,2008
,,일산동구,8661,5522,2883,3810,6370,8084,4508,5801,5775,7711,9496,7956,8628,8063,8916,602
,,일산서구,12413,4622,4396,5950,4473,7330,4024,7945,7215,10242,10605,8599,7650,8723,10994,675
,과천시,,1102,203,246,945,468,491,575,661,836,1311,1475,1240,5303,5345,4403,157
,구리시,,9634,3526,4112,3406,2041,2996,1909,2630,3252,5344,7042,7358,7597,4194,6076,372
,남양주시,,24392,20804,17353,19964,16138,14291,15761,14831,16974,21691,17883,24057,30710,28642,27711,2379
,오산시,,7329,7612,5426,4725,6632,6777,3162,4959,5432,6088,5280,9278,7284,8395,9752,2516
,시흥시,,15908,15875,9959,10112,7239,9199,6765,9047,11549,14638,18718,20843,26047,22608,34382,1103
,군포시,,12297,5342,5639,5850,5369,5905,4164,5484,8142,8668,7331,7674,8486,5374,10134,928
,의왕시,,6673,2193,2023,3807,2227,3147,3019,3049,3809,4460,4134,7527,7524,8822,6882,474
,하남시,,5695,2218,4019,2540,1395,1940,1911,3041,5896,10647,18777,10851,15613,13595,11238,879
,용인시,,40467,18155,13684,28644,22067,19276,16489,23815,26882,32339,28859,37993,58330,37370,40847,4212
,,처인구,7374,5935,4532,3448,3510,3671,4027,4359,5600,6316,7041,10335,16720,7357,10186,2414
,,기흥구,20525,6270,4989,15657,8184,7898,5345,11338,12284,14730,11878,14103,19490,14276,16264,1015
,,수지구,12568,5950,4163,9539,10373,7707,7117,8118,8998,11293,9940,13555,22120,15737,14397,783
,파주시,,18995,5877,5278,6362,12292,6240,7178,8599,8632,13815,11216,12405,21113,12335,25496,1290
,이천시,,5770,5935,4651,5069,5704,5064,3940,3741,4705,5620,6582,6879,6097,5648,5548,481
,안성시,,3593,6914,5144,2956,5540,4923,3779,3355,3415,4655,6663,5032,8225,4653,7804,1679
,김포시,,8243,3627,8944,4285,4137,9191,9509,12328,13061,13254,15359,28433,29552,24996,26448,2780
,화성시,,12424,24235,25272,18541,12913,12744,8500,11716,18234,36977,31146,40270,54808,47230,40302,2408
,광주시,,9363,5352,5032,5063,5696,9213,6433,7686,9121,13334,15154,17608,17973,14259,16536,974
,양주시,,7552,8475,6137,6335,4791,4029,3240,3163,4793,6032,6056,8714,10258,7034,21924,1183
,포천시,,2317,3419,4103,2014,3691,2112,1874,2257,2644,3128,3111,3593,3283,2484,3761,781
,여주시,,-,-,-,-,-,-,-,584,3111,2937,2694,2434,2447,3006,5455,406
,여주군,,2733,3026,3092,2570,1469,2577,2564,1105,-,-,-,-,-,-,-,-
